fichier	leaf	surfaceLeaf	surfaceLesion
Chi_P01_2	1	270071	55
Chi_P01_2	1	270071	63
Chi_P01_2	1	270071	38
Chi_P01_2	1	270071	88
Chi_P01_2	1	270071	78
Chi_P01_2	1	270071	94
Chi_P01_2	1	270071	45
Chi_P01_2	1	270071	60
Chi_P01_2	1	270071	52
Chi_P01_2	1	270071	132
Chi_P01_2	1	270071	38
Chi_P01_2	1	270071	73
Chi_P01_2	1	270071	63
Chi_P01_2	1	270071	72
Chi_P01_2	1	270071	73
Chi_P01_2	1	270071	128
Chi_P01_2	1	270071	29
Chi_P01_2	1	270071	38
Chi_P01_2	1	270071	105
Chi_P01_2	1	270071	81
Chi_P01_2	1	270071	51
Chi_P01_2	1	270071	56
Chi_P01_2	1	270071	32
Chi_P01_2	1	270071	42
Chi_P01_2	1	270071	74
Chi_P01_2	1	270071	23
Chi_P01_2	1	270071	132
Chi_P01_2	1	270071	11
Chi_P01_2	1	270071	68
Chi_P01_2	1	270071	59
Chi_P01_2	1	270071	107
Chi_P01_2	1	270071	128
Chi_P01_2	1	270071	87
Chi_P01_2	1	270071	69
Chi_P01_2	1	270071	87
Chi_P01_2	1	270071	74
Chi_P01_2	1	270071	154
Chi_P01_2	1	270071	222
Chi_P01_2	1	270071	89
Chi_P01_2	1	270071	233
Chi_P01_2	1	270071	95
Chi_P01_2	1	270071	103
Chi_P01_2	1	270071	40
Chi_P01_2	1	270071	98
Chi_P01_2	1	270071	54
Chi_P01_2	1	270071	88
Chi_P01_2	1	270071	30
Chi_P01_2	1	270071	61
Chi_P01_2	1	270071	52
Chi_P01_2	1	270071	92
Chi_P01_2	1	270071	39
Chi_P01_2	1	270071	40
Chi_P01_2	1	270071	130
Chi_P01_2	1	270071	57
Chi_P01_2	1	270071	78
Chi_P01_2	1	270071	67
Chi_P01_2	1	270071	64
Chi_P01_2	1	270071	96
Chi_P01_2	1	270071	74
Chi_P01_2	1	270071	120
Chi_P01_2	1	270071	88
Chi_P01_2	1	270071	122
Chi_P01_2	1	270071	30
Chi_P01_2	1	270071	62
Chi_P01_2	1	270071	86
Chi_P01_2	1	270071	122
Chi_P01_2	1	270071	38
Chi_P01_2	1	270071	88
Chi_P01_2	1	270071	139
Chi_P01_2	1	270071	45
Chi_P01_2	1	270071	139
Chi_P01_2	1	270071	18
Chi_P01_2	1	270071	28
Chi_P01_2	1	270071	114
Chi_P01_2	1	270071	96
Chi_P01_2	1	270071	118
Chi_P01_2	1	270071	66
Chi_P01_2	1	270071	120
Chi_P01_2	1	270071	61
Chi_P01_2	1	270071	167
Chi_P01_2	1	270071	23
Chi_P01_2	1	270071	38
Chi_P01_2	1	270071	152
Chi_P01_2	1	270071	81
Chi_P01_2	1	270071	48
Chi_P01_2	1	270071	75
Chi_P01_2	1	270071	122
Chi_P01_2	1	270071	204
Chi_P01_2	1	270071	47
Chi_P01_2	1	270071	70
Chi_P01_2	1	270071	27
Chi_P01_2	1	270071	88
Chi_P01_2	1	270071	109
Chi_P01_2	1	270071	192
Chi_P01_2	1	270071	89
Chi_P01_2	1	270071	103
Chi_P01_2	1	270071	180
Chi_P01_2	1	270071	113
Chi_P01_2	1	270071	108
Chi_P01_2	1	270071	66
Chi_P01_2	1	270071	18
Chi_P01_2	1	270071	96
Chi_P01_2	1	270071	46
Chi_P01_2	1	270071	113
Chi_P01_2	2	299540	74
Chi_P01_2	2	299540	135
Chi_P01_2	2	299540	60
Chi_P01_2	2	299540	35
Chi_P01_2	2	299540	91
Chi_P01_2	2	299540	44
Chi_P01_2	2	299540	466
Chi_P01_2	2	299540	32
Chi_P01_2	2	299540	42
Chi_P01_2	2	299540	10
Chi_P01_2	2	299540	147
Chi_P01_2	2	299540	110
Chi_P01_2	2	299540	92
Chi_P01_2	2	299540	88
Chi_P01_2	2	299540	93
Chi_P01_2	2	299540	56
Chi_P01_2	2	299540	52
Chi_P01_2	2	299540	120
