fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P10_1	1	308673	176	21713	7.03430491167028	NA
Chi_P10_1	2	359306	128	14787	4.11543364152004	NA
Chi_P10_1	3	346364	206	23705	6.84395606933746	NA
Chi_P10_1	4	220221	53	5487	2.49158799569523	NA
Chi_P10_1	5	307700	140	14769	4.79980500487488	NA
Chi_P10_1	6	278884	107	11745	4.21142840750993	NA
Chi_P10_1	7	274410	189	19968	7.27670274406909	NA
Chi_P10_1	8	340970	188	21017	6.16388538581107	NA
Chi_P10_1	9	350702	149	16347	4.66122234831851	NA
Chi_P10_1	10	369348	108	13586	3.67837378299057	NA
Chi_P10_1	11	247713	112	16509	6.66456746315292	NA
Chi_P10_1	12	326646	185	18407	5.63515242801075	NA
Chi_P10_1	13	262978	144	22868	8.69578443824198	NA
Chi_P10_1	14	243175	93	12648	5.20119255680066	NA
Chi_P10_1	15	223565	95	8056	3.60342629660278	NA
Chi_P10_1	16	152675	65	7250	4.74864909120681	NA
Chi_P10_1	17	275045	110	16023	5.82559217582577	NA
Chi_P10_1	18	253410	90	10336	4.0787656367152	NA
Chi_P10_1	19	325903	156	21750	6.6737648932351	NA
Chi_P10_1	20	300304	88	11607	3.86508338217273	NA
Chi_P10_1	21	351058	101	12604	3.59028992360237	NA
Chi_P10_1	22	297842	172	18692	6.27581066471485	NA
Chi_P10_1	23	147928	38	3697	2.4991887945487	NA
