fichier	leaf	surfaceLeaf	surfaceLesion
Mock_P01_1	1	276070	0
Mock_P01_1	2	207538	0
Mock_P01_1	3	320297	334
Mock_P01_1	4	275548	0
Mock_P01_1	5	272342	0
Mock_P01_1	6	331431	96
Mock_P01_1	6	331431	25
Mock_P01_1	6	331431	55
Mock_P01_1	6	331431	47
Mock_P01_1	6	331431	115
Mock_P01_1	6	331431	41
Mock_P01_1	6	331431	86
Mock_P01_1	6	331431	100
Mock_P01_1	6	331431	99
Mock_P01_1	6	331431	46
Mock_P01_1	6	331431	25
Mock_P01_1	6	331431	18
Mock_P01_1	6	331431	21
Mock_P01_1	6	331431	28
Mock_P01_1	6	331431	76
Mock_P01_1	6	331431	22
Mock_P01_1	6	331431	125
Mock_P01_1	6	331431	23
Mock_P01_1	6	331431	69
Mock_P01_1	6	331431	68
Mock_P01_1	6	331431	16
Mock_P01_1	6	331431	59
Mock_P01_1	6	331431	79
Mock_P01_1	6	331431	22
Mock_P01_1	6	331431	50
Mock_P01_1	6	331431	66
Mock_P01_1	6	331431	66
Mock_P01_1	6	331431	171
Mock_P01_1	6	331431	81
Mock_P01_1	6	331431	23
Mock_P01_1	6	331431	95
Mock_P01_1	6	331431	134
Mock_P01_1	6	331431	39
Mock_P01_1	6	331431	64
Mock_P01_1	6	331431	154
Mock_P01_1	6	331431	117
Mock_P01_1	6	331431	192
Mock_P01_1	6	331431	115
Mock_P01_1	6	331431	70
Mock_P01_1	6	331431	53
Mock_P01_1	6	331431	91
Mock_P01_1	6	331431	92
Mock_P01_1	6	331431	69
Mock_P01_1	6	331431	125
Mock_P01_1	6	331431	53
Mock_P01_1	6	331431	68
Mock_P01_1	6	331431	69
Mock_P01_1	6	331431	92
Mock_P01_1	6	331431	86
Mock_P01_1	6	331431	202
Mock_P01_1	6	331431	269
Mock_P01_1	6	331431	122
Mock_P01_1	6	331431	28
Mock_P01_1	6	331431	68
Mock_P01_1	6	331431	42
Mock_P01_1	6	331431	192
