fichier	leaf	surfaceLeaf	surfaceLesion
IMG_5598_50	1	588004	41
IMG_5598_50	1	588004	408
IMG_5598_50	1	588004	3317
IMG_5598_50	1	588004	20
IMG_5598_50	1	588004	32
IMG_5598_50	1	588004	847
IMG_5598_50	1	588004	884
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	7
IMG_5598_50	1	588004	74
IMG_5598_50	1	588004	108
IMG_5598_50	1	588004	4
IMG_5598_50	1	588004	134
IMG_5598_50	1	588004	19
IMG_5598_50	1	588004	7
IMG_5598_50	1	588004	274
IMG_5598_50	1	588004	5
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	21
IMG_5598_50	1	588004	5
IMG_5598_50	1	588004	539
IMG_5598_50	1	588004	91
IMG_5598_50	1	588004	87
IMG_5598_50	1	588004	56
IMG_5598_50	1	588004	10
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	5
IMG_5598_50	1	588004	53
IMG_5598_50	1	588004	322
IMG_5598_50	1	588004	14
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	17
IMG_5598_50	1	588004	69
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	87
IMG_5598_50	1	588004	49
IMG_5598_50	1	588004	26
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	10
IMG_5598_50	1	588004	64
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	16
IMG_5598_50	1	588004	90
IMG_5598_50	1	588004	1084
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	683
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	50
IMG_5598_50	1	588004	182
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	19
IMG_5598_50	1	588004	48
IMG_5598_50	1	588004	111
IMG_5598_50	1	588004	55
IMG_5598_50	1	588004	56
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	194
IMG_5598_50	1	588004	18
IMG_5598_50	1	588004	12
IMG_5598_50	1	588004	123
IMG_5598_50	1	588004	4
IMG_5598_50	1	588004	20
IMG_5598_50	1	588004	19
IMG_5598_50	1	588004	47
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	149
IMG_5598_50	1	588004	1283
IMG_5598_50	1	588004	8
IMG_5598_50	1	588004	55
IMG_5598_50	1	588004	42
IMG_5598_50	1	588004	21
IMG_5598_50	1	588004	136
IMG_5598_50	1	588004	76
IMG_5598_50	1	588004	23
IMG_5598_50	1	588004	141
IMG_5598_50	1	588004	14
IMG_5598_50	1	588004	20
IMG_5598_50	1	588004	32
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	5995
IMG_5598_50	1	588004	7
IMG_5598_50	1	588004	24
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	69
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	38
IMG_5598_50	1	588004	28
IMG_5598_50	1	588004	27
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	23
IMG_5598_50	1	588004	5
IMG_5598_50	1	588004	61
IMG_5598_50	1	588004	63
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	12
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	28
IMG_5598_50	1	588004	4
IMG_5598_50	1	588004	13
IMG_5598_50	1	588004	71
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	20
IMG_5598_50	1	588004	1128
IMG_5598_50	1	588004	11
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	2
IMG_5598_50	1	588004	42
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	24
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	9
IMG_5598_50	1	588004	83
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	4
IMG_5598_50	1	588004	18
IMG_5598_50	1	588004	21
IMG_5598_50	1	588004	9
IMG_5598_50	1	588004	67
IMG_5598_50	1	588004	35
IMG_5598_50	1	588004	93
IMG_5598_50	1	588004	10
IMG_5598_50	1	588004	129
IMG_5598_50	1	588004	7
IMG_5598_50	1	588004	5
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	6
IMG_5598_50	1	588004	47
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	3
IMG_5598_50	1	588004	1
IMG_5598_50	1	588004	28
IMG_5598_50	1	588004	151
IMG_5598_50	1	588004	19
IMG_5598_50	1	588004	9
IMG_5598_50	1	588004	8
IMG_5598_50	1	588004	58
IMG_5598_50	1	588004	16
