fichier	leaf	surfaceLeaf	surfaceLesion
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	2
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	2
01_cuba5_dpi42_3	1	302500	12
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	4
01_cuba5_dpi42_3	1	302500	4
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	9
01_cuba5_dpi42_3	1	302500	6
01_cuba5_dpi42_3	1	302500	14
01_cuba5_dpi42_3	1	302500	57
01_cuba5_dpi42_3	1	302500	4
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	200
01_cuba5_dpi42_3	1	302500	8
01_cuba5_dpi42_3	1	302500	4
01_cuba5_dpi42_3	1	302500	13
01_cuba5_dpi42_3	1	302500	2
01_cuba5_dpi42_3	1	302500	1
01_cuba5_dpi42_3	1	302500	18
01_cuba5_dpi42_3	1	302500	3
01_cuba5_dpi42_3	1	302500	21
01_cuba5_dpi42_3	1	302500	346
01_cuba5_dpi42_3	1	302500	6
01_cuba5_dpi42_3	1	302500	5
01_cuba5_dpi42_3	1	302500	80
01_cuba5_dpi42_3	1	302500	8
01_cuba5_dpi42_3	1	302500	7
01_cuba5_dpi42_3	1	302500	7
01_cuba5_dpi42_3	1	302500	59
