fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P04_1	1	282894	1	14	0.00494885009933049	NA
Chi_P04_1	2	309255	1	0	0	0
Chi_P04_1	3	299510	1	0	0	0
Chi_P04_1	4	322246	1	0	0	0
Chi_P04_1	5	249591	1	0	0	0
Chi_P04_1	6	296005	2	105	0.03547237377747	NA
Chi_P04_1	7	296857	121	15098	5.08595047447087	NA
Chi_P04_1	8	311286	129	15152	4.86754945612716	NA
Chi_P04_1	9	276607	101	14494	5.23992523688844	NA
Chi_P04_1	10	284545	90	13286	4.66920873675517	NA
Chi_P04_1	11	315666	149	15867	5.0265153675087	NA
Chi_P04_1	12	308168	1	47	0.0152514213026661	NA
Chi_P04_1	13	249031	1	28	0.0112435801165317	NA
Chi_P04_1	14	261292	1	0	0	0
Chi_P04_1	15	238036	1	0	0	0
Chi_P04_1	16	257018	1	0	0	0
Chi_P04_1	17	240062	74	8137	3.38954103523256	NA
Chi_P04_1	18	227712	91	9650	4.23780916245081	NA
Chi_P04_1	19	193606	61	6756	3.48956127392746	NA
Chi_P04_1	20	269789	93	11310	4.19216498819448	NA
Chi_P04_1	21	197086	72	8915	4.52340602579585	NA
Chi_P04_1	22	265162	86	12101	4.56362525550418	NA
