fichier	leaf	surfaceLeaf	surfaceLesion
Chi_P09_1	1	273402	76
Chi_P09_1	1	273402	95
Chi_P09_1	1	273402	112
Chi_P09_1	1	273402	96
Chi_P09_1	1	273402	168
Chi_P09_1	1	273402	222
Chi_P09_1	1	273402	21
Chi_P09_1	1	273402	167
Chi_P09_1	1	273402	222
Chi_P09_1	1	273402	84
Chi_P09_1	1	273402	144
Chi_P09_1	1	273402	79
Chi_P09_1	1	273402	137
Chi_P09_1	1	273402	68
Chi_P09_1	1	273402	30
Chi_P09_1	1	273402	153
Chi_P09_1	1	273402	54
Chi_P09_1	1	273402	101
Chi_P09_1	1	273402	116
Chi_P09_1	1	273402	109
Chi_P09_1	1	273402	62
Chi_P09_1	1	273402	112
Chi_P09_1	1	273402	139
Chi_P09_1	1	273402	76
Chi_P09_1	1	273402	70
Chi_P09_1	1	273402	94
Chi_P09_1	1	273402	231
Chi_P09_1	1	273402	103
Chi_P09_1	1	273402	33
Chi_P09_1	1	273402	106
Chi_P09_1	1	273402	96
Chi_P09_1	1	273402	66
Chi_P09_1	1	273402	102
Chi_P09_1	1	273402	94
Chi_P09_1	1	273402	101
Chi_P09_1	1	273402	112
Chi_P09_1	1	273402	130
Chi_P09_1	1	273402	294
Chi_P09_1	1	273402	33
Chi_P09_1	1	273402	123
Chi_P09_1	1	273402	449
Chi_P09_1	1	273402	153
Chi_P09_1	1	273402	95
Chi_P09_1	1	273402	126
Chi_P09_1	1	273402	115
Chi_P09_1	1	273402	100
Chi_P09_1	1	273402	97
Chi_P09_1	1	273402	100
Chi_P09_1	1	273402	210
Chi_P09_1	1	273402	139
Chi_P09_1	1	273402	130
Chi_P09_1	1	273402	48
Chi_P09_1	1	273402	73
Chi_P09_1	1	273402	104
Chi_P09_1	1	273402	101
Chi_P09_1	1	273402	122
Chi_P09_1	1	273402	79
Chi_P09_1	1	273402	100
Chi_P09_1	1	273402	70
Chi_P09_1	1	273402	127
Chi_P09_1	1	273402	96
Chi_P09_1	1	273402	112
Chi_P09_1	1	273402	125
Chi_P09_1	1	273402	125
Chi_P09_1	1	273402	118
Chi_P09_1	1	273402	102
Chi_P09_1	1	273402	135
Chi_P09_1	1	273402	156
Chi_P09_1	1	273402	141
Chi_P09_1	1	273402	100
Chi_P09_1	1	273402	224
Chi_P09_1	1	273402	167
Chi_P09_1	1	273402	172
Chi_P09_1	1	273402	217
Chi_P09_1	1	273402	136
Chi_P09_1	1	273402	121
Chi_P09_1	1	273402	61
Chi_P09_1	1	273402	310
Chi_P09_1	1	273402	98
Chi_P09_1	1	273402	157
Chi_P09_1	1	273402	96
Chi_P09_1	1	273402	451
Chi_P09_1	1	273402	144
Chi_P09_1	1	273402	237
Chi_P09_1	1	273402	162
Chi_P09_1	1	273402	58
Chi_P09_1	1	273402	97
Chi_P09_1	1	273402	167
Chi_P09_1	1	273402	123
Chi_P09_1	1	273402	243
Chi_P09_1	1	273402	135
Chi_P09_1	1	273402	260
Chi_P09_1	1	273402	146
Chi_P09_1	1	273402	240
Chi_P09_1	1	273402	284
Chi_P09_1	1	273402	120
Chi_P09_1	1	273402	145
Chi_P09_1	1	273402	182
Chi_P09_1	1	273402	290
Chi_P09_1	1	273402	112
Chi_P09_1	1	273402	150
Chi_P09_1	1	273402	64
Chi_P09_1	1	273402	136
Chi_P09_1	1	273402	138
Chi_P09_1	1	273402	16
Chi_P09_1	1	273402	146
Chi_P09_1	1	273402	95
Chi_P09_1	1	273402	77
Chi_P09_1	1	273402	208
Chi_P09_1	1	273402	108
Chi_P09_1	1	273402	68
Chi_P09_1	1	273402	87
Chi_P09_1	1	273402	108
Chi_P09_1	1	273402	93
Chi_P09_1	1	273402	150
Chi_P09_1	1	273402	113
Chi_P09_1	1	273402	337
Chi_P09_1	1	273402	96
Chi_P09_1	1	273402	87
Chi_P09_1	1	273402	205
Chi_P09_1	1	273402	48
Chi_P09_1	1	273402	130
Chi_P09_1	1	273402	132
Chi_P09_1	1	273402	121
Chi_P09_1	1	273402	138
Chi_P09_1	1	273402	289
Chi_P09_1	1	273402	512
Chi_P09_1	1	273402	169
Chi_P09_1	1	273402	105
Chi_P09_1	1	273402	127
Chi_P09_1	1	273402	186
Chi_P09_1	1	273402	323
Chi_P09_1	1	273402	236
Chi_P09_1	1	273402	163
Chi_P09_1	1	273402	125
Chi_P09_1	1	273402	135
Chi_P09_1	1	273402	204
Chi_P09_1	1	273402	148
Chi_P09_1	1	273402	107
Chi_P09_1	1	273402	82
Chi_P09_1	1	273402	95
Chi_P09_1	1	273402	42
Chi_P09_1	2	274321	177
Chi_P09_1	2	274321	241
Chi_P09_1	2	274321	143
Chi_P09_1	2	274321	303
Chi_P09_1	2	274321	272
