fichier	leaf	surfaceLeaf	surfaceLesion
Mock_P01_2	1	315332	102
Mock_P01_2	1	315332	32
Mock_P01_2	1	315332	104
Mock_P01_2	1	315332	31
Mock_P01_2	1	315332	72
Mock_P01_2	1	315332	75
Mock_P01_2	1	315332	14
Mock_P01_2	1	315332	108
Mock_P01_2	1	315332	33
Mock_P01_2	1	315332	57
Mock_P01_2	1	315332	46
Mock_P01_2	1	315332	64
Mock_P01_2	1	315332	122
Mock_P01_2	1	315332	62
Mock_P01_2	1	315332	111
Mock_P01_2	1	315332	161
Mock_P01_2	1	315332	106
Mock_P01_2	1	315332	39
Mock_P01_2	1	315332	108
Mock_P01_2	1	315332	110
Mock_P01_2	1	315332	189
Mock_P01_2	1	315332	78
Mock_P01_2	1	315332	70
Mock_P01_2	1	315332	15
Mock_P01_2	1	315332	133
Mock_P01_2	1	315332	130
Mock_P01_2	1	315332	139
Mock_P01_2	1	315332	71
Mock_P01_2	1	315332	60
Mock_P01_2	1	315332	92
Mock_P01_2	1	315332	53
Mock_P01_2	1	315332	82
Mock_P01_2	1	315332	48
Mock_P01_2	1	315332	219
Mock_P01_2	1	315332	177
Mock_P01_2	1	315332	94
Mock_P01_2	1	315332	100
Mock_P01_2	1	315332	134
Mock_P01_2	1	315332	131
Mock_P01_2	1	315332	69
Mock_P01_2	1	315332	84
Mock_P01_2	1	315332	14
Mock_P01_2	1	315332	97
Mock_P01_2	1	315332	63
Mock_P01_2	1	315332	12
Mock_P01_2	1	315332	34
Mock_P01_2	1	315332	90
Mock_P01_2	1	315332	32
Mock_P01_2	1	315332	89
Mock_P01_2	1	315332	93
Mock_P01_2	1	315332	70
Mock_P01_2	1	315332	118
Mock_P01_2	1	315332	52
Mock_P01_2	1	315332	63
Mock_P01_2	1	315332	34
Mock_P01_2	1	315332	28
Mock_P01_2	1	315332	13
Mock_P01_2	1	315332	89
Mock_P01_2	1	315332	60
Mock_P01_2	1	315332	62
Mock_P01_2	1	315332	13
Mock_P01_2	1	315332	69
Mock_P01_2	1	315332	60
Mock_P01_2	1	315332	36
Mock_P01_2	1	315332	89
Mock_P01_2	1	315332	145
Mock_P01_2	1	315332	97
Mock_P01_2	1	315332	65
Mock_P01_2	1	315332	25
Mock_P01_2	1	315332	45
Mock_P01_2	1	315332	23
Mock_P01_2	1	315332	89
Mock_P01_2	1	315332	81
Mock_P01_2	1	315332	43
Mock_P01_2	1	315332	40
Mock_P01_2	1	315332	36
Mock_P01_2	1	315332	88
Mock_P01_2	1	315332	19
Mock_P01_2	1	315332	57
Mock_P01_2	1	315332	47
Mock_P01_2	1	315332	112
Mock_P01_2	1	315332	55
Mock_P01_2	1	315332	83
