fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Mock_P01_2	1	315332	121	8622	2.73426103281621	NA
Mock_P01_2	2	318937	119	8140	2.55222818299539	NA
Mock_P01_2	3	307169	136	9762	3.1780550771725	NA
Mock_P01_2	4	311578	175	13429	4.30999621282632	NA
Mock_P01_2	5	282203	139	14973	5.30575507701903	NA
Mock_P01_2	6	276044	142	10542	3.81895639825535	NA
Mock_P01_2	7	248571	95	9040	3.63678787951933	NA
Mock_P01_2	8	268430	104	11336	4.22307491711061	NA
Mock_P01_2	9	338518	211	20564	6.07471389999941	NA
Mock_P01_2	10	368869	173	19996	5.42089468076743	NA
Mock_P01_2	11	340655	203	19462	5.71311150577564	NA
Mock_P01_2	12	360534	269	28061	7.78317717607771	NA
Mock_P01_2	13	360243	263	25723	7.14045796864894	NA
Mock_P01_2	14	265447	82	10138	3.81921814900903	NA
Mock_P01_2	15	357917	196	20708	5.78569891902313	NA
Mock_P01_2	16	313321	197	18132	5.78703629823727	NA
Mock_P01_2	17	349769	139	13969	3.9937787511186	NA
Mock_P01_2	18	359186	182	19854	5.52749828779518	NA
Mock_P01_2	19	313989	165	12812	4.08039772093927	NA
Mock_P01_2	20	368010	225	25513	6.93269204641178	NA
Mock_P01_2	21	366415	227	21013	5.73475430863911	NA
Mock_P01_2	22	371793	174	16548	4.45086378710734	NA
